Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Tumor state]	Term Source REF	Term Accession Number	Factor Value[Tumor grade]	Term Source REF	Term Accession Number	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Factor Value[Neutral Status]	Term Source REF	Term Accession Number	Factor Value[ER status]	Term Source REF	Term Accession Number	Factor Value[HER2 status]	Term Source REF	Term Accession Number	Factor Value[Intercurrent tumors]	Term Source REF	Term Accession Number	Factor Value[Breed]	Term Source REF	Term Accession Number
16K-107	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-107	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			72	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748				Maltese		
16K-108	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Pomeranian	NCIT	http://purl.obolibrary.org/obo/NCIT_C53941	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-108	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			108	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Pomeranian		
16K-112	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-112	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			168	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	simple carcinoma (grade 2) (1 site)			Maltese		
16K-116	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Yorkshire Terrier	NCIT	http://purl.obolibrary.org/obo/NCIT_C53946	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-116	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			156	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	Complex caricnoma (grade 1) (1site), Carcinoma in benign tumor (grade 1) (1site), Ovarian adenocarcinoma			Yorkshire Terrier		
16K-121	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Mixed Breed	NCIT	http://purl.obolibrary.org/obo/NCIT_C53951	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-121	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			144	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749	Simple carcinoma (grade 1) (1 site), simple adenoma (1 site)			Mixed Breed		
16K-129	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Shih Tzu	NCIT	http://purl.obolibrary.org/obo/NCIT_C53943	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-129	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			168	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Neutered	NCIT	http://purl.obolibrary.org/obo/NCIT_C158346	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C15493	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Shih Tzu		
16K-142	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Mixed Breed	NCIT	http://purl.obolibrary.org/obo/NCIT_C53951	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-142	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	3			156	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C15493	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Mixed Breed		
16K-149	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-149	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			156	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749	Carcinoma in benign mixed tumor (grade 1) (1site)			Maltese		
16K-153	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Yorkshire Terrier	NCIT	http://purl.obolibrary.org/obo/NCIT_C53946	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-153	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	3			168	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748				Yorkshire Terrier		
16K-183	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-183	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	3			Not Available	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C15493	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748	Simple carcinoma (grade 1) (1site), benign mixed tumor (1 site)			Not Available		
